epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7716,0.54585,1.10498,1.20495,0.99891,0.999,0.99498,0.85585,0.51898,0.43588,1.18705,0.000664,0.000664,0.000664
2,140.408,0.51956,0.45173,1.16608,0.998,0.9979,0.99478,0.85282,0.52627,0.34197,1.20012,0.00119893,0.00119893,0.00119893
3,195.014,0.49465,0.32464,1.15247,0.99893,0.999,0.99498,0.86728,0.49437,0.28957,1.17956,0.00160186,0.00160186,0.00160186
4,248.932,0.47091,0.28106,1.13463,0.99893,0.999,0.99496,0.88449,0.45799,0.2519,1.11439,0.001406,0.001406,0.001406
5,302.154,0.44781,0.25422,1.11915,0.99893,0.999,0.99496,0.88792,0.43338,0.23315,1.11263,0.001208,0.001208,0.001208
6,355.948,0.42657,0.2335,1.10557,0.99894,0.999,0.99498,0.91285,0.42423,0.21149,1.10297,0.00101,0.00101,0.00101
7,409.399,0.40852,0.21582,1.10214,0.99894,0.999,0.995,0.90928,0.39664,0.20458,1.08304,0.000812,0.000812,0.000812
8,463.346,0.38844,0.2053,1.09601,0.99894,0.999,0.99496,0.90674,0.37421,0.17887,1.07804,0.000614,0.000614,0.000614
9,519.282,0.37211,0.18605,1.09849,0.99894,0.999,0.99495,0.91551,0.37441,0.17819,1.08072,0.000416,0.000416,0.000416
10,574.047,0.35999,0.17417,1.08997,0.99894,0.999,0.99487,0.91793,0.35008,0.16328,1.07178,0.000218,0.000218,0.000218
